wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90, centyl97
18,17,18.5,19.5,20.5,22,24,27
17,17,18.5,19.5,20.5,22,24,27
16,16.5,18,19,20.5,22,24,26.5
15,16.5,17.5,18.5,20,21.5,23.5,26
14,15.5,16.5,17.5,19,21,23,25.5
13,14.5,16,17,18.5,20.5,22.5,25
12,14,15,16,18,19.5,22,24.5
11,13.5,14.5,15.5,17,19,21.5,24.5
10,13.5,14,15,16.5,18.5,20.5,24
9,13,13.5,14.5,16,17.5,20,23
8,13,13.5,14.5,15.5,17,19,22
7,13,13.5,14,15.5,16.5,18.5,21
6,13,13.5,14,15.5,16.5,17.5,19.5
5,13,13.5,14,15.5,16.5,17,18.5
4,13.5,14,14.5,15.5,16.5,17.5,18.5
3,13.5,14,14.5,15.5,16,17,18.5
2,13.5,14,14.5,15.5,16,17,18.5
