wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90, centyl97
18,18.5,19.1,21.7,24.9,25,25.1,28.2
17,17.9,18.6,21.2,24.3,24.4,24.6,27.6
16,17.3,18,20.5,23.8,23.9,24,27
15,16.8,17.4,19.8,23.1,23.2,23.3,26.7
14,16.2,16.9,19.3,22.8,22.9,23,26.2
13,15.7,16.3,18.6,22,22.1,22.2,25.8
12,15.2,15.9,18,21.4,21.5,21.6,25.3
11,14.8,15.4,17.5,20.9,21,21.1,24.6
10,14.5,15,17,20,20.2,20.4,23.8
9,14.2,14.7,16.6,19.2,19.4,19.6,22.8
8,14,14.5,16.2,18.7,18.8,18.9,21.6
7,13.9,14.3,15.9,18,18.1,18.2,20.7
6,13.8,14.2,15.7,17.6,17.7,17.8,19.8
5,13.8,14.2,15.5,17.3,17.4,17.5,19.1
4,14,14.3,15.6,17.1,17.2,17.3,18.7
3,14.2,14.5,15.7,17,17.1,17.2,18.4
2,14.4,14.7,15.8,17,17.1,17.2,18.1
