wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centytl97
2,46,46.5,47.5,48,49,50,50.5
3,47,48,48.5,49.5,50,51,52
4,48,48.5,49,50,51,52,53
5,48.5,49,49.5,50.5,52,52.5,53.5
6,49,49.5,50,51,52,53,54
7,49.5,50,50.5,51.5,52.5,53.5,54.5
8,50,50.5,51,52,53,54,55
9,50,51,51.5,52.5,53.5,54.5,55
10,50.5,51,52,53,54,55,56
11,51,51.5,52.5,53.5,54.5,55.5,56
12,51.5,52,53,54,55,56,56.5
13,52,52.5,53.5,54.5,55.5,56,57,
14,52,53,54,54.5,55.5,56.5,57
15,52.5,53,54,55,56,56.5,57.5
16,52.5,53.5,54,55,56,57,57.5
17,52.5,53.5,54,55,56,57,57.5
18,52.5,53.5,54,55,56,57,57.5
