wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,31.8,32.5,33.2,34,34.8,35.5,36.2
1,34.1,34.9,35.5,36.4,37,38,38.7
2,36,36.7,37.3,38.3,39,39.8,40.6
3,37.3,38,38.7,39.6,40.3,41.2,42
4,38.3,39,39.8,40.7,41.4,42.2,43
5,39.1,39.9,40.6,41.5,42.3,43.2,43.9
6,39.7,40.5,41.3,42.2,43.1,43.9,44.7
7,40.3,41.1,41.9,42.8,43.7,44.5,45.3
8,40.8,41.6,42.4,43.3,44.2,45,45.8
9,41.3,42.1,42.9,43.8,44.6,45.5,46.3
10,41.7,42.5,43.3,44.2,45.1,45.9,46.8
11,42,42.9,43.7,44.6,45.5,46.3,47.1
12,42.4,43.2,44,44.9,45.8,46.7,47.5
13,42.7,43.5,44.3,45.3,46.1,46.9,47.8
14,42.9,43.7,44.5,45.5,46.3,47.2,48
15,43.1,43.9,44.8,45.7,46.6,47.4,48.3
16,43.3,44.1,44.9,45.9,46.8,47.6,48.5
17,43.5,44.3,45.1,46.1,47,47.8,48.7
18,43.6,44.4,45.3,46.2,47.2,48,48.8
19,43.8,44.6,45.4,46.4,47.3,48.2,49
20,44,44.8,45.6,46.6,47.5,48.4,49.2
21,44.1,45,45.8,46.7,47.7,48.5,49.4
22,44.3,45.2,46,46.9,47.9,48.7,49.6
23,44.5,45.3,46.2,47,48,48.9,49.7
24,44.6,45.4,46.3,47.2,48.1,49,49.8
