wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,32.2,32.9,33.7,34.6,35.4,36.2,36.9
1,35,35.5,36,36.5,37.5,38,39
2,37,37.5,38,39,40,40.5,41.5
3,38.5,39,39.5,40.5,41.5,42,43
4,39.5,40.5,41,41.5,42.5,43.5,44
5,40.5,41,42,42.5,43.5,44,45
6,41,42,42.5,43.5,44,45,46
7,42,42.5,43,44,45,45.5,46.5
8,42.5,43,43.5,44.5,45.5,46,47
9,42.5,43.5,44,45,46,46.5,47.5
10,43,43.5,44.5,45.5,46.5,47,48
11,43.5,44,45,46,46.5,47.5,48
12,43.5,44.5,45,46,47,48,48.5
13,44,44.5,45.5,46.5,47,48,49,
14,44,45,46,46.5,47.5,48.5,49
15,44.5,45,46,47,48,48.5,49.5
16,44.5,45.5,46,47,48,49,49.5
17,44.5,45.5,46.5,47,48,49,50
18,45,45.5,46.5,47.5,48.5,49,50
19,45,46,46.5,47.5,48.5,49.5,50
20,45,46,47,47.5,48.5,49.5,50
21,45.5,46,47,48,49,49.5,50.5
22,45.5,46.5,47,48,49,50,50.5
23,45.5,46.5,47,48,49,50,51
24,45.5,46.5,48,48,49.5,50,51
