wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,32.2,32.9,33.7,34.6,35.4,36.2,36.9
1,35,35.7,36.4,37.3,38,38.8,39.4
2,37,37.7,38.3,39.2,40,40.6,41.3
3,38.4,39.1,39.8,40.5,41.4,42.1,42.8
4,39.4,40.2,40.9,41.7,42.5,43.2,43.9
5,40.3,41.1,41.8,42.6,43.4,44.1,44.9
6,41,41.8,42.5,43.3,44.2,44.9,45.6
7,41.6,42.4,43.1,44,44.8,45.5,46.3,
8,42.1,42.9,43.7,44.5,45.3,46.1,46.9
9,42.6,43.3,44.1,45,45.8,46.6,47.3
10,43,43.8,44.6,45.4,46.2,47,47.8
11,43.3,44.1,44.9,45.8,46.6,47.4,48.2
12,43.7,44.4,45.2,46.1,47,47.7,48.5
13,43.9,44.7,45.5,46.4,47.2,48,48.8
14,44.2,44.9,45.8,46.6,47.5,48.3,49.1
15,44.4,45.1,46,46.9,47.7,48.5,49.3
16,44.5,45.3,46.1,47,47.9,48.7,49.5
17,44.7,45.5,46.3,47.2,48.1,48.9,49.7
18,44.8,45.7,46.4,47.4,48.2,49.1,49.8
19,45,45.8,46.6,47.5,48.4,49.2,50
20,45.1,46,46.8,47.7,48.6,49.4,50.2
21,45.3,46.1,47,47.9,48.8,49.6,50.4
22,45.5,46.3,47.1,48,48.9,49.7,50.5
23,45.6,46.4,47.3,48.2,49.1,49.9,50.7
24,45.7,46.4,47.3,48.3,49.2,50,50.8
