wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,30,31,32,33,34,35,36
1,32.6,34,35.4,36.4,37.9,38.9,39.8
2,35.3,36.7,38.3,39,40.6,41.5,42.1
3,37.6,38.7,40,41,42.5,43.6,44.2
4,39,40,41.4,42.6,44,45,46
5,40.3,41.3,42.4,43.5,45.3,46.3,47.4
6,41.3,42.2,43.4,44.6,46.6,47.6,48.7
7,42,43,44,45.3,47.4,48.3,49.4
8,42.7,43.8,44.7,46,47.9,49.3,50.2
9,43.3,44.2,45,46.4,48.1,49.8,51.3
10,43.7,44.6,45.6,47.1,48.6,50.2,51.6
11,44,44.9,45.8,47.5,48.8,50.4,51.6
12,44.3,45.2,46.1,47.8,49.1,50.6,51.7
13,44.5,45.4,46.3,48,49.3,50.8,51.9
14,44.7,45.6,46.5,48.2,49.5,51,52.1
15,44.9,45.8,46.7,48.4,49.7,51.2,52.3
16,45.1,46,46.9,48.6,49.9,51.4,52.5
17,45.2,46.2,47.1,48.8,50.1,51.6,52.7
18,45.3,46.4,47.2,49,50.2,51.7,52.8
19,45.4,46.5,47.3,49.1,50.3,51.8,52.9
20,45.5,46.6,47.4,49.2,50.4,51.9,53
21,45.6,46.7,47.5,49.3,50.5,52,53.1
22,45.7,46.8,47.6,49.4,50.6,52.1,53.2
23,45.8,46.9,47.7,49.5,50.7,52.2,53.3
24,45.9,47,47.8,49.6,50.8,52.3,53.4
