wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,31,31.7,32.4,34,35.5,36.2,38
1,33.7,34.4,35.4,38,39.3,40.5,41.5
2,37.3,38,39,40,41.4,42.7,43.5
3,39,40,41,42,43.3,44.6,46
4,40.4,41.4,42.4,43.6,44.8,46,47.2
5,41.4,42.5,43.6,44.7,46,47.4,48.5
6,42.2,43.4,44.3,45.4,47,48.2,49.5
7,42.8,44,45,46.2,47.8,49,50.4
8,43.3,44.5,45.7,46.9,48.4,49.6,51
9,43.6,45,46.2,47.3,49,50,51.6
10,44,45.4,46.8,47.9,49.3,50.4,52
11,44.3,46,47.2,48.3,49.8,50.8,52.4
12,44.5,46.3,47.6,48.8,50,51.1,52.8
13,44.62,46.4,47.9,49,50.2,51.4,53
14,44.86,46.5,48,49.1,50.4,51.6,53.1
15,45,46.6,48.1,49.2,50.5,51.8,53.2
16,45.14,46.7,48.2,49.3,50.6,52,53.3
17,45.28,46.8,48.3,49.4,50.7,52.1,53.4
18,45.4,46.9,48.4,49.5,50.8,52.2,53.5
19,45.51,47,48.5,49.6,50.9,52.3,53.6
20,45.63,47.1,48.6,49.7,51,52.4,53.7
21,45.82,47.2,48.7,49.8,51.05,52.5,53.75
22,46,47.3,48.8,49.85,51.10,52.6,53.80
23,46.25,47.35,48.85,49.9,51.15,52.65,53.85
24,46.5,47.4,48.90,49.95,51.2,52.7,53.9
