wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,2.35,2.65,2.85,3.15,3.55,3.85,4.15
1,3.2,3.5,3.8,4.3,4.7,5,5.5
2,4,4.3,4.8,5.1,5.6,6,6.6
3,4.6,5,5.4,5.8,6.4,6.9,7.4
4,5.1,5.5,6,6.5,7,7.5,8.1
5,5.5,5.9,6.3,6.9,7.5,8.1,8.7
6,5.8,6.2,6.8,7.3,7.9,8.5,9.2
7,6.1,6.5,7,7.6,8.3,8.9,9.5
8,6.3,6.8,7.3,8,8.6,9.3,10
9,6.6,7,7.5,8.2,8.9,9.6,10.4
10,6.8,7.3,7.8,8.5,9.2,10,10.7
11,7,7.5,8,8.7,9.5,10.2,11
12,7.1,7.7,8.2,8.9,9.7,10.5,11.3
13,7.3,7.9,8.4,9.1,10,10.8,11.6
14,7.5,8,8.6,9.4,10.2,11,11.9
15,7.7,8.2,8.8,9.6,10.5,11.3,12.2
16,7.8,8.4,9,9.8,10.8,11.6,12.5
17,8,8.6,9.2,10,10.9,11.8,12.8
18,8.2,8.8,9.4,10.2,11.1,12,13
19,8.3,8.9,9.6,10.4,11.3,12.3,13.3
20,8.5,9.1,9.8,10.65,11.6,12.5,13.5
21,8.7,9.3,10,10.9,11.8,12.8,13.8
22,8.8,9.5,10.2,11.1,12,13,14.1
23,9,9.7,10.4,11.4,12.25,13.3,14.4
24,9.2,9.8,10.6,11.6,12.5,13.5,14.6
