wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,2.45,2.75,2.95,3.25,3.65,3.95,4.25
1,3.75,4,4.25,4.6,5,5.25,5.5
2,4.5,4.75,5.2,5.5,6,6.25,6.5
3,5.25,5.5,6,6.5,7,7.25,7.75
4,5.75,6.25,6.75,7.2,7.5,8,8.5
5,6.4,6.75,7.25,7.75,8.25,8.75,9.25
6,6.75,7.25,7.75,8.25,8.75,9.25,10
7,7.2,7.5,8,8.5,9.2,9.7,10.5
8,7.5,8,8.5,9,9.5,10.2,11
9,7.75,8.25,8.75,9.3,10,10.5,11.5
10,8,8.5,9,9.6,10.35,11,11.75
11,8.25,8.75,9.25,10,10.6,11.5,12.25
12,8.5,9,9.5,10.2,11,11.7,12.5
13,8.65,9.25,9.75,10.4,11.25,11.9,12.8
14,8.8,9.5,10,10.6,11.5,12.1,13.1
15,8.9,9.6,10.25,10.8,11.75,12.3,13.3
16,9,9.7,10.5,11,11.90,12.5,13.5
17,9.1,9.8,10.6,11.2,12,12.7,13.7
18,9.2,9.9,10.7,11.4,12.20,12.9,13.9
19,9.3,10,10.8,11.6,12.35,13.1,14.1
20,9.4,10.1,10.9,11.8,12.5,13.3,14.3
21,9.5,10.2,11,11.9,12.65,13.5,14.5
22,9.6,10.3,11.1,12,12.80,13.7,14.7
23,9.7,10.4,11.2,12.1,12.95,13.9,14.9
24,9.8,10.5,11.3,12.2,13.1,14.1,15.1
