wiek,cantyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centytl97
2,81,82,83,85,88,90,92
3,90,91,93,95,97,100,102
4,97,98,100,103,106,108,110
5,102,105,108,110,114,116,119
6,107,110,113,116,120,124,128
7,113,115,118,123,127,130,135
8,119,122,125,129,133,137,140
9,124,127,130,135,138,143,148
10,128,132,136,141,145,149,153
11,134,138,142,147,152,156,160
12,140,144,148,154,158,162,166
13,146,150,155,160,163,167,170
14,150,154,158,162,166,170,173
15,152,156,160,164,168,171,175
16,153,157,161,165,169,172,176
17,154,158,161,165,169,172,176
18,154,158,161,166,169,172,176
