wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,46,47,49.25,50.5,52,53,56
1,50,51,52,53.5,54.5,56,57
2,53,54.5,55.5,57,58.5,59.5,61
3,56,57,58.25,60,61,62.5,64
4,58,59.5,60.5,62,63.5,65,66.25
5,60,61.25,62.5,64,65.5,67,68
6,61.5,63,64.25,66,67.5,68.75,70
7,63,64.5,66,67.5,69,70.5,71.75
8,64.5,65.75,67,68.75,70.5,72,73.25
9,65.5,67,68.5,70,71.75,73.25,74.5
10,67,68,70,71.5,73,74.5,76
11,68,69.5,71,72.5,74.5,76,77.5
12,69,70.5,72,74,75.5,77,78.75
13,70,71.75,73.5,75,77,78.5,80
14,71.5,73,74.5,76.5,78,80,81.5
15,72.5,74,75.5,77.5,79.5,81,82.5
16,73.5,75,76.75,78.5,80.5,82,84
17,74.5,76,78,79.75,81.5,83.5,85
18,75.25,77,79,80.75,82.75,84.5,86.25
19,76,78,79.25,81.75,83.75,85.5,87.5
20,77,79,80.5,83,84.5,86.5,88.5
21,78,79.5,81.5,83.5,85.5,87.5,89.5
22,78.75,80.5,82.5,84.5,86.75,88.5,90.5
23,79.5,81.5,83.5,85.5,87.5,89.5,91.5
24,80.5,82.5,84.25,86.5,88.5,90.5,92.5
