wiek,centyl3,centyl10,centyl25,centyl50,centyl75,centyl90,centyl97
0,46.5,47.5,48.5,50,51,52.5,53.5
1,51,52,53.5,55,56,57,58.5
2,55,56,57,58,60,61,62.5
3,57.5,59,60,61.5,63,64,65
4,60,61,62.5,64,65.5,66.5,68
5,62,63,64.5,66,67.5,68.5,70
6,63.5,65,66,67.5,69,70.5,71.5
7,65,66.5,68,69,70.5,72,73
8,66.5,68,69,70.5,72,73.5,75
9,68,69,70.5,72,73.5,75,76
10,69,70.5,71.5,73,75,76,77.5
11,70,71.5,73,74.5,76,77.5,79
12,71.25,72.75,74,75.75,77.5,79,80.25
13,72.5,74,75.25,77,78.5,80,81.5
14,73.5,75,76.5,78,79.75,81.25,82.75
15,74.5,76,77.5,79,81,82.5,84
16,75.5,77,78.5,80,82,83.5,85
17,76.25,78,79.5,81.25,83,84.5,86.25
18,77,78.75,80.5,82.25,84,85.75,87.25
19,78,79.75,81.5,83.25,85,86.75,88.5
20,79,80.5,82.25,84,86,87.75,89.5
21,79.75,81.5,83,85,87,89,90.5
22,80.5,82.25,84,86,88,90,91.5
23,81.25,83,85,87,89,90.75,92.5
24,82,84,85.75,86.75,90,91.75,93.5
